language,year,month,pushes,pull_requests,issues,issue_comments,stars,forks,creates,contributors,active_repos
JavaScript,2016,1,13650,9407,4768,11779,10509,2873,3146,18657,7393
Java,2016,1,8235,4285,1871,5653,2728,1360,1732,7887,3797
Python,2016,1,7311,4562,2070,7016,2733,1157,1327,8162,4153
C#,2016,1,5262,1247,965,2638,601,383,346,2362,1094
Ruby,2016,1,5149,4341,1200,3500,1360,1030,1574,4510,2618
PHP,2016,1,4848,2919,1494,3987,1336,677,1034,4542,2593
HTML,2016,1,4829,2932,815,2038,971,800,907,3786,1757
C++,2016,1,3735,1918,1137,4383,1576,592,549,4890,1905
CSS,2016,1,2642,1704,338,819,826,392,511,2197,965
Shell,2016,1,2499,917,354,1352,857,338,259,2122,944
C,2016,1,2428,1115,602,2318,1303,488,291,3433,1497
Go,2016,1,1852,1338,744,3364,1600,367,368,2950,1031
TypeScript,2016,1,950,485,451,1285,656,168,188,1516,411
Objective-C,2016,1,660,513,245,681,1250,373,171,1829,570
Scala,2016,1,654,374,164,1046,262,79,126,787,348
Swift,2016,1,546,261,143,353,1327,164,157,1414,389
Rust,2016,1,431,237,94,660,149,43,42,380,202
CoffeeScript,2016,1,340,225,167,409,189,65,115,574,241
Lua,2016,1,332,153,81,251,133,51,36,370,165
PowerShell,2016,1,323,284,39,116,46,25,21,157,122
Perl,2016,1,302,179,88,319,64,43,53,363,208
R,2016,1,282,135,84,190,59,72,53,321,177
Haskell,2016,1,281,145,101,449,100,49,42,327,186
Jupyter Notebook,2016,1,263,117,47,106,79,46,29,265,143
TeX,2016,1,242,120,21,74,44,37,16,193,94
Makefile,2016,1,239,116,63,160,54,33,40,257,122
Clojure,2016,1,239,165,62,159,139,30,74,280,146
Groff,2016,1,166,6,4,15,3,4,1,22,11
Groovy,2016,1,156,74,42,112,39,64,24,226,105
Puppet,2016,1,150,152,10,74,1,20,80,106,59
SCSS,2016,1,141,11,14,25,11,9,16,62,39
Erlang,2016,1,138,92,19,105,45,16,55,153,83
Kotlin,2016,1,123,18,39,67,234,47,55,346,62
Matlab,2016,1,117,65,16,50,5,9,20,75,47
Emacs Lisp,2016,1,115,53,64,271,96,32,8,252,117
OCaml,2016,1,100,33,16,96,41,3,17,109,47
Elixir,2016,1,94,76,57,114,79,22,31,161,93
Visual Basic,2016,1,86,90,19,88,2,1,24,28,22
XSLT,2016,1,84,27,8,26,5,5,3,50,30
DM,2016,1,82,90,57,303,9,14,15,138,24
Dart,2016,1,80,50,69,182,10,4,15,95,37
Julia,2016,1,68,38,21,164,21,8,11,96,59
Nix,2016,1,67,27,12,145,1,1,3,63,13
VimL,2016,1,63,46,11,32,82,22,12,140,47
D,2016,1,59,28,23,133,13,4,13,56,23
Processing,2016,1,57,38,17,2,2,2,7,27,13
LLVM,2016,1,55,0,0,0,4,0,1,8,3
Perl 6,2016,1,51,6,2,2,1,2,6,14,6
PLpgSQL,2016,1,49,35,18,39,8,6,16,45,26
Smalltalk,2016,1,47,16,2,27,0,1,2,13,7
Vim script,2016,1,46,5,22,62,217,21,0,245,70
Batchfile,2016,1,42,37,1,14,12,8,0,32,15
Common Lisp,2016,1,41,5,7,12,9,2,6,38,27
Eagle,2016,1,39,13,3,21,4,1,5,21,14
Pascal,2016,1,38,14,13,32,10,6,1,49,31
Fortran,2016,1,36,9,42,67,5,0,1,42,23
CMake,2016,1,35,29,5,57,4,2,7,37,20
Apex,2016,1,34,17,2,7,1,4,15,17,11
SourcePawn,2016,1,33,7,3,3,4,4,9,21,16
Mathematica,2016,1,33,20,0,0,1,0,10,9,5
FreeMarker,2016,1,31,9,8,7,0,0,10,6,4
F#,2016,1,30,27,24,89,7,8,8,62,29
Vala,2016,1,29,19,28,7,7,0,11,14,10
XC,2016,1,28,0,0,0,0,0,1,4,2
ColdFusion,2016,1,28,15,16,16,8,5,7,19,15
Elm,2016,1,27,17,3,10,20,8,6,40,20
Vim Script,2016,1,26,21,4,58,36,16,13,77,9
Racket,2016,1,23,10,10,34,0,1,1,23,15
XQuery,2016,1,22,3,1,3,1,0,0,7,5
SaltStack,2016,1,21,28,5,14,4,11,7,26,22
ASP,2016,1,21,16,0,1,0,2,3,8,7
Modelica,2016,1,21,1,6,4,0,0,2,9,9
Haxe,2016,1,21,5,14,36,10,5,0,40,17
M4,2016,1,20,0,0,0,0,1,1,3,5
GCC Machine Description,2016,1,19,48,0,49,7,33,2,57,8
VHDL,2016,1,19,3,2,3,1,0,1,10,6
ANTLR,2016,1,19,4,1,3,1,2,0,7,3
PostScript,2016,1,19,5,11,25,1,1,1,22,8
M,2016,1,19,6,1,25,2,0,0,9,2
Smarty,2016,1,18,21,12,13,5,3,0,22,11
Vue,2016,1,18,3,1,5,0,1,0,9,7
Assembly,2016,1,17,8,0,6,14,3,1,27,20
Liquid,2016,1,17,13,3,3,0,0,7,12,7
Gosu,2016,1,17,4,13,6,0,0,9,8,4
Scheme,2016,1,16,8,0,3,3,4,4,18,14
Arduino,2016,1,16,16,2,4,1,7,6,20,11
FORTRAN,2016,1,15,18,3,8,1,3,6,15,12
Chapel,2016,1,15,15,0,10,2,0,1,9,2
WebAssembly,2016,1,14,8,6,22,3,1,3,8,1
ApacheConf,2016,1,13,15,12,4,22,11,6,41,9
Dockerfile,2016,1,13,3,5,11,10,12,2,37,24
PureScript,2016,1,13,17,3,28,12,5,11,21,18
SQF,2016,1,13,13,6,43,1,1,1,12,4
Ren'Py,2016,1,13,0,9,4,0,0,0,6,3
Haml,2016,1,12,0,0,0,0,0,0,2,2
QML,2016,1,12,5,9,8,10,1,5,24,8
Logos,2016,1,12,6,0,1,0,0,1,7,4
Eiffel,2016,1,11,7,0,1,0,0,7,7,6
HCL,2016,1,11,15,1,8,4,1,3,15,4
Web Ontology Language,2016,1,11,3,7,4,0,0,0,7,6
Forth,2016,1,11,0,1,3,1,0,5,5,4
Gherkin,2016,1,11,3,4,7,1,1,5,7,4
MATLAB,2016,1,11,0,0,0,2,0,3,9,7
PureBasic,2016,1,11,2,0,0,0,1,1,2,1
GAP,2016,1,10,9,8,33,1,0,4,11,6
ActionScript,2016,1,10,2,6,6,3,1,0,17,11
RAML,2016,1,10,5,0,6,4,1,2,11,6
BitBake,2016,1,9,4,3,1,0,1,3,9,8
Starlark,2016,1,9,6,4,21,3,1,1,14,2
LilyPond,2016,1,9,8,0,0,0,0,0,1,1
Tcl,2016,1,9,6,4,2,0,0,7,9,6
GLSL,2016,1,8,6,0,1,2,0,1,7,4
Markdown,2016,1,8,17,4,48,48,11,0,74,3
Turing,2016,1,8,10,0,0,0,0,4,1,1
Max,2016,1,8,4,0,0,0,0,2,1,1
OpenEdge ABL,2016,1,7,0,1,7,0,0,0,8,4
JetBrains MPS,2016,1,7,0,0,0,0,0,2,4,1
Standard ML,2016,1,7,0,0,1,0,1,0,5,3
Protocol Buffer,2016,1,7,4,3,7,0,0,0,9,3
AutoHotkey,2016,1,7,13,0,5,0,0,0,2,1
Verilog,2016,1,7,6,0,0,2,1,1,8,8
1C Enterprise,2016,1,7,0,5,10,0,0,0,9,3
xBase,2016,1,7,1,0,3,0,0,2,1,1
Crystal,2016,1,7,5,2,24,24,0,2,33,6
PLSQL,2016,1,6,6,3,10,1,1,1,11,6
AutoIt,2016,1,6,12,0,0,0,0,2,4,3
JSON,2016,1,6,0,0,0,0,0,0,1,1
Hy,2016,1,6,0,0,0,0,0,0,1,1
QMake,2016,1,6,2,0,0,0,1,0,2,1
AGS Script,2016,1,6,12,5,35,0,0,0,7,1
Charity,2016,1,6,0,0,0,0,0,0,1,1
LSL,2016,1,6,7,0,0,0,0,1,3,2
KiCad,2016,1,5,5,0,4,3,1,1,7,5
API Blueprint,2016,1,5,1,1,0,0,0,1,5,4
Perl6,2016,1,5,10,0,3,1,3,0,11,7
Roff,2016,1,5,0,0,2,2,0,0,9,7
Squirrel,2016,1,5,3,0,0,0,0,4,1,1
Bro,2016,1,5,4,0,3,2,0,0,5,1
Raku,2016,1,5,0,0,0,0,0,1,2,3
Cuda,2016,1,5,6,2,11,591,160,0,706,7
LookML,2016,1,4,0,0,0,0,0,0,1,1
Awk,2016,1,4,12,1,11,171,4,0,172,6
ABAP,2016,1,4,0,1,1,0,0,0,1,2
Nemerle,2016,1,4,0,0,0,4,0,0,5,1
Objective-C++,2016,1,4,9,4,11,19,5,1,37,9
TSQL,2016,1,4,1,0,0,2,0,0,5,4
Prolog,2016,1,4,1,0,0,0,0,0,3,2
Nim,2016,1,4,1,4,13,3,0,1,12,3
Cucumber,2016,1,4,3,2,0,0,0,3,2,2
Nginx,2016,1,4,5,1,18,10,2,0,21,8
Rebol,2016,1,3,4,0,0,0,2,2,3,1
Twig,2016,1,3,0,3,0,2,0,0,6,3
Mercury,2016,1,3,0,0,0,0,0,0,2,2
LoomScript,2016,1,3,0,0,0,0,0,0,1,1
NSIS,2016,1,3,0,1,2,6,0,1,9,3
Handlebars,2016,1,3,0,4,19,0,0,0,10,4
Fluent,2016,1,3,0,0,0,0,0,0,1,1
Hack,2016,1,3,0,2,0,3,0,0,5,5
Less,2016,1,3,0,1,7,2,0,1,7,4
SMT,2016,1,3,0,0,0,0,0,0,3,3
Gnuplot,2016,1,3,8,1,2,0,1,0,5,1
Bluespec,2016,1,3,0,0,0,0,0,0,1,1
Svelte,2016,1,2,0,0,0,0,0,0,1,1
LiveScript,2016,1,2,2,0,5,2,0,1,9,4
Red,2016,1,2,3,7,12,0,0,0,4,1
NetLogo,2016,1,2,2,0,0,0,0,0,1,1
Inform 7,2016,1,2,2,0,0,0,0,0,2,1
Dylan,2016,1,2,2,0,1,0,0,0,3,1
Objective-J,2016,1,2,2,0,5,0,0,0,3,2
GDScript,2016,1,2,0,0,0,0,0,0,1,1
Nimrod,2016,1,2,0,2,7,0,0,0,2,1
SQLPL,2016,1,2,0,0,0,0,0,0,2,2
ReScript,2016,1,2,0,1,0,0,0,0,2,2
DIGITAL Command Language,2016,1,2,2,0,0,1,4,1,7,3
Thrift,2016,1,2,1,0,0,0,0,1,2,2
ooc,2016,1,2,3,4,12,0,0,0,6,1
Pug,2016,1,2,0,0,0,0,0,0,1,1
Inno Setup,2016,1,2,0,2,8,7,0,0,13,3
IDL,2016,1,2,0,0,0,7,1,0,8,3
Yacc,2016,1,2,4,0,8,1,0,0,5,1
Ada,2016,1,2,0,1,1,0,0,0,1,1
SystemVerilog,2016,1,2,3,0,2,0,2,0,2,1
Agda,2016,1,1,0,0,0,0,0,2,1,2
Fennel,2016,1,1,0,0,0,0,0,0,1,1
LabVIEW,2016,1,1,0,0,0,0,0,0,1,1
Alloy,2016,1,1,0,0,0,0,0,0,1,1
Meson,2016,1,1,1,0,0,0,0,1,2,1
Frege,2016,1,1,0,0,1,2,0,0,3,1
OpenSCAD,2016,1,1,0,0,0,0,0,0,1,1
Vim Snippet,2016,1,1,0,0,0,0,0,0,1,1
ASL,2016,1,1,0,0,0,0,0,0,1,1
SuperCollider,2016,1,1,0,0,0,0,0,0,1,1
Isabelle,2016,1,1,2,0,0,1,0,0,3,2
Game Maker Language,2016,1,1,2,0,1,2,1,0,4,2
Cap'n Proto,2016,1,1,2,0,1,0,1,0,2,1
Genshi,2016,1,1,0,0,0,2,0,0,3,1
VBA,2016,1,0,0,0,0,0,0,0,2,1
MDX,2016,1,0,0,0,0,0,1,0,1,1
Factor,2016,1,0,0,0,0,1,0,0,1,1
CartoCSS,2016,1,0,0,2,5,0,1,0,6,2
F*,2016,1,0,0,0,0,1,0,0,1,1
Boogie,2016,1,0,0,0,4,0,0,0,2,1
BlitzMax,2016,1,0,0,0,1,1,0,0,2,2
Oz,2016,1,0,3,0,1,0,0,0,1,1
Brightscript,2016,1,0,3,0,0,0,0,0,1,1
Nunjucks,2016,1,0,0,0,0,27,8,0,34,2
Cirru,2016,1,0,0,0,0,1,0,0,1,1
Stan,2016,1,0,0,0,1,1,0,0,2,1
Coq,2016,1,0,0,1,3,2,0,0,5,3
nesC,2016,1,0,1,0,0,0,1,0,1,1
Jinja,2016,1,0,0,2,3,1,1,0,3,3
YASnippet,2016,1,0,2,0,2,0,1,0,2,1
Jsonnet,2016,1,0,0,0,0,0,1,0,1,1
Pan,2016,1,0,0,0,2,0,0,0,1,1
Pony,2016,1,0,0,0,0,1,0,0,1,1
Cython,2016,1,0,0,1,1,0,0,0,2,1
Astro,2016,1,0,0,0,0,0,0,1,1,1
Solidity,2016,1,0,0,0,5,0,0,0,4,1
Xtend,2016,1,0,0,0,0,1,0,0,1,1
Arc,2016,1,0,0,0,0,1,0,0,1,1
Ceylon,2016,1,0,0,1,8,0,0,0,4,1
Augeas,2016,1,0,0,2,0,0,0,0,2,1
eC,2016,1,0,0,0,0,1,0,0,2,1
Rich Text Format,2016,1,0,0,0,0,0,1,1,3,2
MoonScript,2016,1,0,0,5,5,2,0,0,7,3
RobotFramework,2016,1,0,1,0,0,0,0,0,1,1
wisp,2016,1,0,0,1,1,1,0,0,2,1
Lex,2016,1,0,1,0,1,1,0,0,2,1
EJS,2016,1,0,0,0,0,0,3,0,3,1
Smali,2016,1,0,0,1,2,2,0,0,4,2
Idris,2016,1,0,0,0,0,1,0,0,1,1
JavaScript,2016,2,13971,9720,4563,11850,11872,2804,4430,18928,8347
Java,2016,2,8828,4566,2001,5699,3538,1285,1613,8424,4085
Python,2016,2,7416,4387,2228,7223,4308,1206,1462,9256,4386
C#,2016,2,6148,1279,878,2173,861,362,387,2580,1198
PHP,2016,2,5449,3729,1592,4654,1656,763,1182,5173,2832
HTML,2016,2,5059,3240,573,1674,955,693,1169,3698,1946
Ruby,2016,2,4810,4161,990,3198,1567,1306,1585,4668,2632
Shell,2016,2,4170,891,342,1127,1052,320,289,2198,982
C++,2016,2,3791,1794,1288,4811,1723,616,678,5102,2008
CSS,2016,2,2863,1480,370,756,903,362,513,2279,1038
C,2016,2,2284,1185,671,2630,1349,445,317,3400,1546
Go,2016,2,1395,1007,629,2952,1768,319,291,2751,1034
TypeScript,2016,2,765,378,471,1139,788,160,173,1544,430
Scala,2016,2,617,375,204,890,285,72,147,787,359
Objective-C,2016,2,613,430,180,526,2060,374,174,2330,599
Swift,2016,2,555,288,151,468,1751,175,171,1625,480
Rust,2016,2,509,221,137,689,183,40,62,423,217
R,2016,2,344,153,109,225,71,128,55,382,221
Perl,2016,2,320,263,97,348,404,56,64,723,224
Makefile,2016,2,302,110,57,158,58,20,55,214,109
CoffeeScript,2016,2,301,219,134,366,222,77,123,579,294
Jupyter Notebook,2016,2,265,114,42,154,124,50,19,338,158
Lua,2016,2,249,103,146,276,115,41,38,338,158
Haskell,2016,2,241,86,69,236,131,17,31,312,178
Groovy,2016,2,226,116,35,130,53,68,33,234,102
Clojure,2016,2,218,128,79,195,201,37,45,362,161
TeX,2016,2,202,135,45,62,43,28,27,195,110
PowerShell,2016,2,199,143,31,83,53,18,15,139,66
Kotlin,2016,2,191,43,52,151,323,54,60,456,101
Erlang,2016,2,170,94,48,139,133,25,26,249,100
Elixir,2016,2,157,84,45,125,113,19,42,194,100
Groff,2016,2,152,18,4,3,2,9,3,23,10
SCSS,2016,2,141,17,5,20,14,3,8,59,43
Emacs Lisp,2016,2,133,83,48,284,147,35,7,284,133
Matlab,2016,2,111,63,24,64,4,6,29,80,47
OCaml,2016,2,104,57,26,107,35,12,28,121,72
Pascal,2016,2,104,55,16,13,8,3,23,50,36
JetBrains MPS,2016,2,95,0,4,0,0,0,1,5,1
Visual Basic,2016,2,85,82,19,34,2,3,19,28,24
XSLT,2016,2,78,48,17,41,9,4,9,54,36
Julia,2016,2,76,48,25,165,23,12,16,108,56
Haxe,2016,2,75,18,28,43,12,1,10,40,24
Puppet,2016,2,75,57,7,43,1,7,34,64,43
Nix,2016,2,74,59,10,113,1,5,1,63,14
DM,2016,2,54,96,104,476,0,10,15,177,30
Common Lisp,2016,2,51,26,6,30,15,1,3,42,29
Vim script,2016,2,49,9,31,94,424,34,0,453,99
PLpgSQL,2016,2,49,29,27,44,7,2,9,44,21
VimL,2016,2,47,54,19,146,115,27,11,180,64
Elm,2016,2,45,18,9,16,38,8,10,56,24
LLVM,2016,2,44,1,0,0,4,3,0,12,4
Processing,2016,2,43,14,0,2,2,2,7,17,10
Eagle,2016,2,41,16,0,0,0,5,6,20,17
Fortran,2016,2,41,13,4,20,6,2,7,35,23
F#,2016,2,39,32,13,46,10,10,9,62,32
ColdFusion,2016,2,36,36,0,10,1,1,18,13,5
Dockerfile,2016,2,35,3,4,5,5,7,4,29,23
Assembly,2016,2,35,14,0,10,15,3,2,35,22
D,2016,2,34,32,8,97,11,4,5,57,24
Crystal,2016,2,34,33,7,123,16,9,8,35,10
Batchfile,2016,2,33,25,5,10,11,8,9,37,20
Dart,2016,2,31,30,28,63,13,3,6,41,22
Arduino,2016,2,30,17,1,3,5,4,7,19,13
HCL,2016,2,30,22,0,2,3,0,16,15,12
Nimrod,2016,2,29,8,0,11,3,2,2,8,7
MATLAB,2016,2,28,2,2,2,1,3,2,14,11
Modelica,2016,2,28,15,3,22,0,0,2,17,10
Scheme,2016,2,26,15,2,6,1,3,5,22,16
Prolog,2016,2,26,1,3,9,3,2,1,11,7
Vue,2016,2,25,2,0,4,31,1,3,43,17
SQF,2016,2,25,12,13,39,1,8,2,24,10
GAP,2016,2,24,10,10,34,0,0,1,13,8
BitBake,2016,2,23,14,8,21,3,0,2,25,20
ActionScript,2016,2,22,20,5,28,3,3,3,29,14
Roff,2016,2,22,3,2,3,0,2,3,12,8
Web Ontology Language,2016,2,22,12,7,17,1,4,9,20,11
Vala,2016,2,21,4,6,25,2,0,0,19,11
Logos,2016,2,21,6,6,14,0,1,8,22,7
PostScript,2016,2,20,5,0,1,2,0,0,10,7
SourcePawn,2016,2,19,26,4,10,0,3,0,15,11
Apex,2016,2,19,10,1,4,5,0,12,16,9
Vim Script,2016,2,18,20,11,64,60,6,11,89,11
SaltStack,2016,2,18,33,1,11,1,6,2,23,19
GLSL,2016,2,17,11,4,0,5,1,3,12,7
Pug,2016,2,17,0,0,0,0,0,5,2,2
SQLPL,2016,2,16,15,0,1,0,0,7,5,4
TSQL,2016,2,16,2,4,3,0,1,2,9,8
Smalltalk,2016,2,16,17,11,10,1,3,2,17,9
Less,2016,2,16,0,3,4,0,0,0,9,5
PLSQL,2016,2,16,32,0,0,0,0,1,10,4
FORTRAN,2016,2,15,1,2,7,2,1,0,13,7
GCC Machine Description,2016,2,14,40,2,41,14,21,1,53,8
ApacheConf,2016,2,14,11,1,4,28,6,4,43,11
RAML,2016,2,13,13,0,34,1,1,8,11,5
LiveScript,2016,2,13,5,4,14,38,5,2,52,6
Nim,2016,2,13,8,6,8,9,1,0,18,4
Ada,2016,2,12,4,0,13,1,2,2,12,5
Raku,2016,2,12,1,0,2,0,0,0,3,1
AutoHotkey,2016,2,12,5,0,1,0,1,3,5,5
Smarty,2016,2,11,17,3,13,3,1,7,23,13
Cuda,2016,2,11,11,14,43,9,4,0,27,9
XQuery,2016,2,11,2,2,2,0,2,0,5,4
Standard ML,2016,2,11,0,1,4,0,0,0,7,3
Tcl,2016,2,11,0,2,6,0,2,1,8,5
OpenEdge ABL,2016,2,11,2,6,5,0,0,0,8,5
Objective-J,2016,2,10,2,4,2,1,0,1,5,3
F*,2016,2,10,0,12,24,0,0,0,3,1
Mathematica,2016,2,10,3,1,3,0,2,0,8,6
Jinja,2016,2,9,6,1,7,2,1,1,6,5
YARA,2016,2,9,0,0,0,1,1,0,4,2
Perl 6,2016,2,9,3,1,3,0,1,0,9,3
VHDL,2016,2,9,4,5,2,3,2,2,14,10
NetLogo,2016,2,8,5,1,0,0,1,3,4,4
QML,2016,2,8,4,0,2,7,2,2,16,9
Ren'Py,2016,2,8,0,9,4,1,0,0,5,3
Smali,2016,2,8,0,1,2,1,0,1,4,3
Sass,2016,2,7,0,0,0,1,2,2,5,2
FreeMarker,2016,2,7,4,0,1,1,2,2,6,4
Coq,2016,2,7,3,2,4,2,0,0,12,9
Nunjucks,2016,2,7,0,0,1,17,6,0,25,3
CMake,2016,2,7,7,6,6,2,2,2,22,15
API Blueprint,2016,2,6,4,0,0,0,0,2,7,6
Twig,2016,2,6,0,2,4,3,0,0,6,3
Verilog,2016,2,6,2,0,0,2,1,0,10,6
MoonScript,2016,2,6,2,2,8,4,1,0,10,4
Objective-C++,2016,2,6,4,3,4,33,8,0,40,11
1C Enterprise,2016,2,6,0,1,6,1,0,0,5,2
OpenSCAD,2016,2,5,8,3,1,1,0,0,4,4
Red,2016,2,5,0,6,9,1,0,0,7,1
JSON,2016,2,5,2,4,4,0,0,0,6,1
Inno Setup,2016,2,5,2,2,8,3,1,0,14,3
ATS,2016,2,5,0,0,0,0,0,0,1,1
Slash,2016,2,5,4,6,6,0,0,2,5,2
Liquid,2016,2,5,2,22,7,0,0,1,6,3
NSIS,2016,2,5,4,0,1,3,0,1,9,6
ooc,2016,2,5,13,2,33,0,0,0,6,1
Markdown,2016,2,5,7,0,26,34,8,0,55,3
Svelte,2016,2,5,0,0,0,0,0,0,2,2
PureScript,2016,2,4,21,6,49,8,22,4,31,34
CartoCSS,2016,2,4,0,1,3,2,1,2,7,3
Racket,2016,2,4,2,6,33,3,2,0,15,11
MDX,2016,2,4,0,0,0,0,0,0,2,1
Gherkin,2016,2,4,4,0,8,2,1,4,11,6
Gosu,2016,2,4,2,14,10,1,0,0,13,4
KiCad,2016,2,4,12,2,5,2,6,2,16,7
Pure Data,2016,2,3,2,1,1,0,0,1,1,2
Bro,2016,2,3,0,0,0,2,1,0,4,1
Lasso,2016,2,3,1,4,3,1,0,0,3,1
RobotFramework,2016,2,3,1,0,4,0,0,0,6,5
Macaulay2,2016,2,3,0,0,0,0,0,0,2,1
Riot,2016,2,3,1,0,1,1,0,0,2,1
LilyPond,2016,2,3,2,1,0,0,0,1,2,2
Protocol Buffer,2016,2,3,1,5,17,2,0,0,17,5
Handlebars,2016,2,3,2,4,17,0,1,1,13,5
SystemVerilog,2016,2,2,1,0,0,0,0,1,2,1
XC,2016,2,2,0,1,0,0,0,0,3,2
ABAP,2016,2,2,2,1,14,0,2,0,3,3
DTrace,2016,2,2,0,0,0,0,0,0,1,2
Squirrel,2016,2,2,2,1,1,0,1,1,2,2
PAWN,2016,2,2,0,0,4,0,0,0,3,1
Hy,2016,2,2,0,0,0,0,0,0,1,1
Yacc,2016,2,2,2,2,0,0,0,1,3,2
AutoIt,2016,2,2,2,0,0,1,0,3,3,2
LoomScript,2016,2,2,3,0,1,0,0,2,3,1
M4,2016,2,2,1,0,3,0,0,0,3,2
Perl6,2016,2,2,2,1,1,0,0,0,3,3
Starlark,2016,2,2,0,4,5,2,0,0,6,2
SMT,2016,2,2,0,0,0,0,0,0,1,1
IDL,2016,2,2,0,0,0,7,0,0,8,2
Cucumber,2016,2,2,3,0,0,0,0,0,2,2
Ceylon,2016,2,2,2,1,15,1,0,0,7,2
Fluent,2016,2,2,0,0,0,0,0,0,1,1
Limbo,2016,2,2,4,0,0,0,0,2,1,1
Brightscript,2016,2,2,1,0,1,0,0,0,2,1
M,2016,2,2,0,1,6,4,0,0,9,3
Xtend,2016,2,2,4,0,4,0,1,0,4,4
Nginx,2016,2,1,0,1,2,8,2,2,14,6
reStructuredText,2016,2,1,0,0,0,0,0,0,1,1
AMPL,2016,2,1,0,0,0,0,0,0,1,1
Factor,2016,2,1,2,0,1,0,0,0,3,1
Gnuplot,2016,2,1,2,2,21,1,0,0,6,1
AGS Script,2016,2,1,1,1,8,0,0,0,3,1
Isabelle,2016,2,1,0,0,0,0,0,0,1,1
SuperCollider,2016,2,1,3,0,0,0,0,1,2,2
WebAssembly,2016,2,1,0,0,0,3,1,0,5,1
Game Maker Language,2016,2,1,2,0,2,0,2,1,4,2
Haml,2016,2,1,0,0,0,0,1,0,2,2
DIGITAL Command Language,2016,2,1,4,1,3,1,5,0,8,4
VBA,2016,2,1,0,0,0,0,0,0,1,1
Stan,2016,2,1,1,1,0,1,0,1,2,1
LabVIEW,2016,2,1,3,0,1,0,1,0,3,2
Adblock Filter List,2016,2,1,0,0,0,0,0,0,1,1
RouterOS Script,2016,2,1,0,0,0,0,0,0,1,1
GDScript,2016,2,1,0,0,0,1,0,1,3,1
ReScript,2016,2,1,0,0,0,0,0,0,1,1
Inform 7,2016,2,1,4,0,0,0,0,0,3,1
SAS,2016,2,1,0,0,0,0,0,0,1,1
Csound Document,2016,2,1,0,0,0,0,0,0,1,1
Cython,2016,2,1,0,3,9,1,1,0,3,1
Forth,2016,2,1,2,0,2,0,0,0,2,2
Arc,2016,2,1,0,0,0,1,0,0,3,1
Mercury,2016,2,1,0,2,6,3,0,0,8,2
ANTLR,2016,2,0,0,0,0,3,2,0,5,1
Fantom,2016,2,0,1,0,0,0,0,0,1,1
Thrift,2016,2,0,0,0,0,4,1,0,5,1
ChucK,2016,2,0,1,0,0,0,0,0,1,1
Mako,2016,2,0,0,0,1,1,0,0,2,1
UnrealScript,2016,2,0,0,1,0,0,0,0,1,1
Awk,2016,2,0,0,0,0,2,0,0,2,2
Astro,2016,2,0,0,3,0,0,0,1,4,4
EJS,2016,2,0,0,1,0,2,0,0,3,1
Eiffel,2016,2,0,0,0,1,0,0,0,1,1
Frege,2016,2,0,0,1,1,7,0,0,9,1
Solidity,2016,2,0,0,0,10,1,0,0,9,2
Rebol,2016,2,0,0,12,1,0,0,0,2,1
ASP,2016,2,0,1,0,0,1,3,0,3,2
Chapel,2016,2,0,0,0,1,0,0,0,1,1
VCL,2016,2,0,1,0,6,0,0,1,3,1
Self,2016,2,0,0,0,0,0,1,0,1,1
Dylan,2016,2,0,1,0,1,0,0,0,1,1
Max,2016,2,0,0,0,0,1,0,0,1,1
HLSL,2016,2,0,0,0,1,0,0,0,1,1
Diff,2016,2,0,0,1,0,0,0,0,1,1
Pan,2016,2,0,0,0,1,0,0,0,1,1
Ecl,2016,2,0,0,0,0,0,1,0,1,1
Jsonnet,2016,2,0,0,0,1,1,0,0,2,1
Rich Text Format,2016,2,0,0,0,2,0,1,1,3,2
HyPhy,2016,2,0,0,0,1,0,0,0,1,1
JavaScript,2016,3,17066,11058,5496,13474,13157,3719,4263,23176,8956
Java,2016,3,10931,6038,2438,6855,3695,1767,1917,10213,4777
Python,2016,3,9166,5454,2376,8741,4018,1346,1802,10540,4887
HTML,2016,3,6764,4130,863,2580,1060,845,1431,4696,2208
C#,2016,3,6716,1668,1021,2919,791,402,548,2954,1318
PHP,2016,3,6172,3344,1782,4956,1957,826,1308,5887,2976
Ruby,2016,3,5669,4896,1253,4042,1466,1260,1791,5214,2930
C++,2016,3,4802,2354,1299,5298,2054,819,748,6197,2250
CSS,2016,3,3217,1798,506,959,2051,490,582,3727,1146
Shell,2016,3,3137,1038,402,1442,949,331,319,2440,1103
C,2016,3,2891,1381,911,2622,1630,564,385,4151,1675
Go,2016,3,1895,1321,883,4094,1821,455,385,3405,1210
TypeScript,2016,3,1070,593,757,1672,1025,223,234,2124,529
Scala,2016,3,938,612,273,1526,317,134,214,1055,454
Objective-C,2016,3,703,478,275,732,1687,397,172,2258,638
Swift,2016,3,701,396,204,551,1799,222,182,1882,507
Rust,2016,3,623,311,131,781,416,62,91,715,286
CoffeeScript,2016,3,411,266,149,470,229,57,122,641,271
R,2016,3,393,149,127,274,68,97,47,385,229
Perl,2016,3,393,261,67,273,78,35,83,392,231
Clojure,2016,3,383,142,61,186,140,28,78,328,177
Jupyter Notebook,2016,3,369,155,56,159,111,65,41,375,176
Groff,2016,3,280,18,7,21,5,7,8,29,12
TeX,2016,3,278,130,50,109,61,40,15,234,109
Makefile,2016,3,266,142,116,223,68,34,39,309,138
Groovy,2016,3,252,147,102,227,58,66,40,291,144
Lua,2016,3,251,121,149,373,171,47,35,446,165
